iter	RMSE
0	44895.70741
1	43462.11385
2	42172.29697
3	41008.99504
4	39982.5638
5	39021.47575
6	38146.48702
7	37352.05349
8	36668.56129
9	36063.42247
10	35514.02444111	34995.29363112	34530.3041913	34105.33103
14	33733.22392
15	33415.19966
16	33128.47125
17	32884.69459
18	32654.39441
19	32454.66069
20	32265.17252
21	32113.80494
22	31976.00211
23	31843.50985
24	31720.87945
25	31619.68976
26	31521.4949
27	31443.70015
28	31369.79742
29	31305.34331
30	31243.87078
31	31192.89074
32	31144.39162
33	31098.60923
34	31061.80321
35	31028.44597
36	30998.73778
37	30972.52776
38	30946.29734
39	30925.63971
40	30903.65924
41	30882.73437
42	30869.93534
43	30852.69038
44	30839.46373
45	30824.21479
46	30811.67344
47	30798.85644
48	30789.02883
49	30777.91924
50	30769.57689
51	30761.55267
52	30757.6225
53	30749.88416
54	30745.96391
55	30740.94944
56	30735.21305
57	30729.9651
58	30724.37721
59	30717.23028
60	30712.63541
61	30708.05172
62	30704.76827
63	30703.73046
64	30699.48428
65	30696.19465
66	30693.2424
67	30689.29596
68	30686.30143
69	30684.16566
70	30679.23212
71	30677.02349
72	30673.53114
73	30670.30268
74	30667.79897
75	30666.12157
76	30662.6235
77	30660.14684
78	30657.47793
79	30655.14065
80	30652.76317
81	30651.17477
82	30647.74782
83	30645.10877
84	30642.65999
85	30641.45303
86	30639.03042
87	30635.4022
88	30633.12497
89	30631.17569
90	30628.52981
91	30625.65945
92	30623.32712
93	30621.44906
94	30620.76885
95	30620.23564
96	30617.67357
97	30616.2829
98	30615.11628
99	30612.5501
100	30609.83104
101	30605.62825
102	30603.90879
103	30601.05283
104	30599.51036
105	30598.42192
106	30597.40784
107	30595.39601
108	30594.17462
109	30593.00057
110	30592.08761
111	30591.16991
112	30589.80132
113	30586.23231
114	30583.9916
115	30582.20961
116	30580.88571
117	30578.49156
118	30576.94946
119	30575.57067
120	30575.2532
121	30573.79678
122	30572.66232
123	30571.6944
124	30570.09425
125	30568.55124
126	30568.04417
127	30567.42552
128	30566.32253
129	30565.70052
130	30563.62076
131	30562.8793
132	30562.03497
133	30560.85623
134	30558.61399
135	30556.88099
136	30555.52804
137	30554.76296
138	30553.19361
139	30551.14757
140	30549.07397
141	30548.38818
142	30546.65428
143	30545.57696
144	30544.86025
145	30542.00561
146	30540.08167
147	30538.91611
148	30538.01848
149	30536.75518
150	30534.48372
151	30533.07478
152	30530.30023
153	30529.41428
154	30526.04322
155	30524.72799
156	30521.90384
157	30519.93309
158	30518.55892
159	30517.16073
160	30515.99305
161	30513.86237
162	30511.27368
163	30509.73451
164	30508.36458
165	30506.70494
166	3167	30685.0167	3168	30683.4168	3169	30682.3169	3170	30680.170	30171	30678.71745
172	30675.172	30173	30674.06885
174	30671.82979
175	30670.19367
176	30669.39208
177	30666.38504
178	30664.90597
179	30663.21623
180	30660.68001
181	30659.39357
182	30656182	304183	30656.00982
184	30654.20134
185	30652.73302
186	30651.59436
187	30649.58678
188	30648.51963
189	30646.86789
190	30645.83567
191	30644.58728
192	30642.53784
193	30641.18336
194	30639.11184
195	30638.63861
196	30637.88725
197	30637.45826
198	30635.05687
199	30633.27961
200	30632.59355
201	30632.19842
202	30629.82069
203	30628.95587
204	30627.05111
205	30625.79129
206	30624.67777
207	30623.46232
208	30622.09354
209	30620.19483
210	30619.30479
211	30618.70441
212	30617.74351
213	30616.79986
214	30615.20941
215	30613.2814
216	30611.71065
217	30611.35946
218	30610.31019
219	30607.94845
220	306220	30415221	30605.59315
222	306222	30413.18774
223	30411.13961
224	30408.41593
225	30406.81728
226	30404.86333
227	30404.07782
228	30402.05802
229	30400.49087
230	30399.38854
231	30397.98224
232	30396.0836
233	30394.62072
234	30393.80059
235	30391.19892
236	30389.14757
237	30386.56163
238	3038239	3058239	30383.32563
240	30381.93333
241	3038242	30579.34526
243	30578.49278
244	30576.35064
245	30575.53119
246	305246	3037247	3057247	3037248	3057248	3037249	3057249	3037250	305250	30370251	305251	30368.24887
252	30367253	305253	30365.83589
254	30365.26735
255	30363.68911
256	3036257	3055257	30361.614
258	30360.59139
259	30359.82765
260	30357.02472
261	30356.35745
262	30353.83064
263	30352.47497
