iter	Passed	Remaining
0	151	151670
1	163	81788
2	178	59475
3	183	45750
4	197	39296
5	205	33989
6	213	30278
7	225	28015
8	241	26551
9	255	25254
10	261	23510
11	278	22934
12	289	21962
13	332	23441
14	347	22816
15	381	23442
16	403	23357
17	412	22512
18	425	21986
19	439	21559
20	445	20784
21	454	20217
22	466	19796
23	479	19481
24	487	18997
25	496	18598
26	507	18290
27	513	17815
28	522	17493
29	529	17120
30	542	16970
31	556	16819
32	575	16876
33	589	16740
34	603	16647
35	619	16591
36	670	17455
37	703	17797
38	711	17529
39	719	17277
40	738	17264
41	753	17188
42	756	16834
43	773	16802
44	784	16652
45	795	16489
46	810	16434
47	827	16421
48	836	16237
49	843	16024
50	849	15813
51	857	15632
52	859	15362
53	873	15307
54	877	15084
55	885	14932
56	895	14810
57	906	14727
58	911	14542
59	917	14370
60	924	14228
61	935	14155
62	940	13985
63	945	13828
64	953	13710
65	960	13594
66	974	13564
67	982	13459
68	995	13426
69	1005	13358
70	1017	13318
71	1031	13295
72	1040	13209
73	1051	13156
74	1060	13079
75	1069	13003
76	1079	12945
77	1083	12812
78	1091	12727
79	1105	12717
80	1112	12626
81	1119	12529
82	1133	12524
83	1137	12399
84	1144	12320
85	1153	12264
86	1167	12248
87	1179	12222
88	1185	12130
89	1196	12096
90	1205	12037
91	1209	11935
92	1221	11909
93	1225	11816
94	1233	11751
95	1243	11711
96	1261	11743
97	1270	11696
98	1280	11657
99	1290	11617
100	1303	11605
101	1310	11539
102	1322	11513
103	1332	11482
104	1342	11447
105	1353	11415
106	1357	11332
107	1365	11278
108	1373	11224
109	1375	11131
110	1385	11097
111	1408	11165
112	1411	11077
113	1418	11025
114	1429	10999
115	1434	10934
116	1446	10915
117	1454	10869
118	1463	10832
119	1481	10861
120	1485	10788
121	1500	10801
122	1519	10836
123	1542	10898
124	1558	10912
125	1582	10979
126	1593	10952
127	1622	11056
128	1641	11085
129	1655	11077
130	1658	11001
131	1665	10953
132	1671	10893
133	1684	10885
134	1699	10889
135	1715	10898
136	1720	10836
137	1726	10785
138	1735	10748
139	1743	10709
140	1749	10661
141	1756	10611
142	1762	10561
143	1774	10547
144	1779	10494
145	1785	10446
146	1797	10432
147	1804	10388
148	1815	10370
149	1824	10338
150	1832	10301
151	1838	10256
152	1848	10230
153	1854	10188
154	1862	10155
155	1871	10127
156	1877	10080
157	1885	10049
158	1893	10012
159	1907	10015
160	1917	9994
161	1925	9960
162	1933	9926
163	1941	9898
164	1948	9860
165	1953	9816
166	19167	1962167	19168	1971168	19169	1979169	19170	1991170	19171	2001	9636
172	2005172	20173	2013	9558
174	2019	9518
175	2032	9515
176	2038	9476
177	2043	9437
178	2047	9393
179	2056	9369
180	2061	9326
181	2066	9286
182	2069182	20183	2079	9221
184	2086	9192
185	2096	9174
186	2112	9186
187	2124	9174
188	2128	9135
189	2138	9116
190	2145	9089
191	2158	9084
192	2168	9066
193	2184	9074
194	2189	9039
195	2197	9014
196	2202	8976
197	2213	8963
198	2220	8937
199	2229	8917
200	2232	8873
201	2240	8851
202	2247	8825
203	2255	8800
204	2260	8767
205	2267	8740
206	2271	8701
207	2275	8664
208	2281	8636
209	2289	8613
210	2294	8580
211	2303	8561
212	2311	8540
213	2323	8533
214	2333	8520
215	2338	8488
216	2346	8465
217	2349	8427
218	2353	8392
219	2361	8372
2223	241220	23221	2380	8344
222	2388222	2391	8333
223	2396	8301
224	2408	8296
225	2422	8297
226	2430	8276
227	2437	8254
228	2449	8248
229	2456	8222
230	2465	8208
231	2472	8186
232	2478	8160
233	2484	8134
234	2493	8117
235	2501	8097
236	2511	8085
237	2516	8058
238	252242	257239	2533	8021
240	253244	2592	79882245	2598	79642246	2607	79482247	2616	7933245	2583	7917
246	2587246	25247	2594247	25248	2605248	26249	2619249	26250	2624250	26251	2634251	2637	7828
252	26253	2649253	2660	7813
254	2664	7783
255	2670	7759
256	26257	2686257	2701	7770
258	2710	7753
259	2715	7728
260	2724	7712
261	2731	7695
262	2744	7691
263	2752	7672
264	2757	7649
265	2767	7636
266	2777	7624
267	2788	7616
268	2794	7594
269	2800	7570
270	2805	7546
271	2812	7528
272	2815	7498
273	2825	7486
274	2834	7473
275	2842	7455
276	2849	7436
277	2855	7416
278	28279	2871279	2874	7390
280	2892	7401
281	2898	7378
282	2907	7366
283	2913	7345
284	2918	7321
285	2929	7312
286	2935	7293
287	2942	7273
288	2949	7257
289	2961	7250
290	2966	7228
291	2975	7213
292	2981	7195
293	2995	7192
294	3000	7170
295	3007	7152
296	3013	7132
297	3020	7115
298	3026	7095
299	3034	7081
300	3037	7053
301	3047	7043
302	3053	7023
303	3061	7008
304	3066	6987
305	3070	6963
306	307310	312307	3086	6935
308	308312	313309	3098	6896
310	3108	6886
311	3113	6865
312	312316	317313	312317	3184	6828
318	3192	6815
319	3203	6806
320	3212	6795
321	3220	6782
322	3238	6788
323	3242	6765
324	3251	6752
325	3258	6735
326	3265	6719
327	3272	6704
328	3276	6682
329	328326	323330	328327	324331	330328	325332	330329	326333	331330	327334	3329	6609
335	3339	6599
336	3346	6584
337	335334	330338	3366	6563
339	3374	6550
340	3379	6531
341	3386	6515
342	3398	6509
343	3409	6501
344	3418	6490
345	3423	6470
346	3432	6458
347	3440	6445
348	3446	6428
349	3457	6421
350	3464	6406
351	3476	6399
352	3487	6392
353	3504	6395
